2) Rental Object Reference:,3) Rental Object Postcode:,4) Contract Number (Tenancy Reference):,5) Contract Start Date:,6) In the tenant’s view what was the main reason the household left their last settled home?:,"7) If you responded 'Other' to Q6, please state the main reason:",8) Was the reason for leaving a direct result of the removal of the spare room subsidy or benefit cap introduced from 2013?:,9) What was the housing situation for this household immediately before this letting?:,10) Enter Local Authority in which household lived immediately before this letting:,11) Postcode of the previous accommodation (leave blank if previous postcode is unknown or previous accommodation was temporary):,12) How long has the household continuously lived in the local authority area where the new letting is located?:,13) How long has the household been on the waiting list of the local authority district where the new letting is located?:,"14) Immediately prior to this letting, was this household…?:",15) Was the household given reasonable Preference for housing by the Local Authority?:,"16) Which of following reasonable preferences apply (tick any which are applicable, leave un-ticked if Q15 answered ""No"" or ""Don't Know"")?:","17) Was the letting made under any of the following allocations systems? (tick any which are applicable, leave un-ticked if none apply):","20) How many times has the unit been previously offered since becoming available for relet since the last tenancy ended or as a first let? 
For an Affordable Rent or Rent to Buy Letting, only include number of offers as that type. (For a property let at t",21) Reason for vacancy:
1010/101513/10000042,OX16 5TR,1010/1100075343,2/18/21,Asked to leave by family or friends,,No,Living with friends or family,Cherwell,OX16 1HE,5 years or more,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/104306/10000008,B42 2HZ,1010/1100075366,2/22/21,Property unsuitable because of ill health/ disability,,Don't Know,Private sector tenancy,Birmingham,B42 2RY,Don't know,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),10,Relet - previous tenant died (no succession)
1010/103992/10000008,CM2 9GY,1010/1100075373,2/19/21,Other,Temp. accomodation,No,Any other temporary accommodation,Chelmsford,,Don't know,Don't know,Assessed as unintentionally homeless and having a priority need by a local authority and owed by a homeless main duty,Don't Know,,Common allocation policy (CAP),0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/104293/10000292,S5 0GP,1010/1100075409,2/23/21,Permanently decanted from another property owned by this landlord,,No,Lifetime Private Registered Provider General Needs tenancy,Sheffield,S5 0AX,5 years or more,5 years or more,Not homeless,Yes,"Living in insanitary, overcrowded or unsatisfactory housing",Common housing register (CHR),0,Relet - tenant abandoned property
1010/104293/10001103,S5 0UB,1010/1100075257,2/11/21,Domestic abuse,,No,Lifetime Private Registered Provider General Needs tenancy,Sheffield,S8 8AH,5 years or more,Don't know,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),Choice-based lettings (CBL),0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/103656/10000005,CM4 9NF,1010/1100075405,2/23/21,To move nearer to family/ friends/ school,,No,Private sector tenancy,Havering,RM14 1HU,Don't know,Don't know,Not homeless,No,,Common allocation policy (CAP),0,Relet - previous tenant died (no succession)
1010/104293/10001888,S5 0RJ,1010/1100075358,2/19/21,To move nearer to family/ friends/ school,,No,Lifetime Private Registered Provider General Needs tenancy,Bath and North East Somerset,BA3 3DL,5 years or more,1 year but under 2 years,Not homeless,Yes,,Choice-based lettings (CBL),1,Relet - previous tenant died (no succession)
1010/106493/10000404,CH4 8EU,1010/1100075249,2/10/21,Asked to leave by family or friends,,No,Bed and breakfast,Cheshire West and Chester,CH1 3AE,5 years or more,Less than 1 year,Assessed as threatened with homelessness within 56 days by a local authority and owed prevention duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL);#Common housing register (CHR);#Common allocation policy (CAP),0,Relet - previous tenant moved to private sector or other accommodation
1010/104111/10000036,HU9 4QE,1010/1100075147,2/4/21,Don’t Know,,Don't Know,Living with friends or family,East Riding of Yorkshire,,Don't know,Don't know,Not homeless,Don't Know,Don't know,Choice-based lettings (CBL),0,Relet - previous tenant died (no succession)
1010/106492/10000001,CH4 7NB,1010/1100075251,2/11/21,Property unsuitable because of ill health/ disability,,No,Lifetime Local Authority General Needs tenancy,Cheshire West and Chester,CH64 9QP,5 years or more,2 years but under 3 years,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),Choice-based lettings (CBL);#Common housing register (CHR);#Common allocation policy (CAP),1,Relet - previous tenant died (no succession)
1010/102465/10000112,HU9 4TW,1010/1100075256,2/12/21,Don’t Know,,Don't Know,Living with friends or family,East Riding of Yorkshire,,Don't know,Don't know,Not homeless,Don't Know,Don't know,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/106411/10000090,CH1 5PD,1010/1100075230,2/12/21,Asked to leave by family or friends,,No,Living with friends or family,Cheshire West and Chester,CH1 5NY,5 years or more,Less than 1 year,Assessed as threatened with homelessness within 56 days by a local authority and owed prevention duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL);#Common housing register (CHR);#Common allocation policy (CAP),0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/106411/10000029,CH1 5NX,1010/1100075305,2/16/21,Property unsuitable because of overcrowding,,No,Lifetime Private Registered Provider General Needs tenancy,Cheshire West and Chester,CH2 1SH,5 years or more,2 years but under 3 years,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),Choice-based lettings (CBL);#Common housing register (CHR);#Common allocation policy (CAP),2,Relet - previous tenant moved to private sector or other accommodation
1020/106489/10000007,l7 0ae,1020/1100003274,2/9/21,Property unsuitable because of overcrowding,,Don't Know,Fixed-term Private Registered Provider General Needs tenancy,Liverpool,,Don't know,Don't know,Not homeless,Don't Know,Don't know,Choice-based lettings (CBL),0,First let of a new build property
1010/106411/10000374,CH1 5PD,1010/1100075346,2/18/21,Domestic abuse,,No,Any other temporary accommodation,Cheshire West and Chester,CH66 1PW,Less than 1 year,Less than 1 year,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL);#Common housing register (CHR);#Common allocation policy (CAP),2,Relet - previous tenant moved to private sector or other accommodation
1010/106427/10000285,CH2 1QD,1010/1100075357,2/19/21,Don’t Know,,Don't Know,Sheltered accommodation,Cheshire West and Chester,CH1 3HW,5 years or more,1 year but under 2 years,Not homeless,No,,Choice-based lettings (CBL);#Common housing register (CHR);#Common allocation policy (CAP),4,Relet - previous tenant moved to private sector or other accommodation
1010/106931/10000000,TQ4 7RP,1010/1100075416,2/24/21,Property unsuitable because of poor condition,,No,Fixed-term Private Registered Provider General Needs tenancy,Torbay,,Don't know,Don't know,Not homeless,No,,Choice-based lettings (CBL),0,"First let of a conversion, rehabilitation or acquired property"
1010/102463/10000038,S64 9NS,1010/1100075153,2/5/21,Asked to leave by family or friends,,No,Living with friends or family,Doncaster,S66 7aG,5 years or more,Less than 1 year,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),Choice-based lettings (CBL),4,Relet - previous tenant moved to private sector or other accommodation
1010/101852/10000005,S65 2SR,1010/1100075223,2/15/21,To move to independent accommodation,,No,Living with friends or family,Rotherham,S60 2JP,5 years or more,1 year but under 2 years,Not homeless,No,,Choice-based lettings (CBL),9,Relet - previous tenant moved to private sector or other accommodation
1010/101475/10000009,BN11 3NE,1010/1600005815,2/15/21,(Non-violent) relationship breakdown with partner,,No,Any other temporary accommodation,Worthing,,5 years or more,Don't know,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,,0,Relet - tenant evicted due to arrears
1010/104431/10000144,CB7 5WN,1010/1100075316,2/15/21,To move to accommodation with support,,No,Sheltered accommodation,East Cambridgeshire,,5 years or more,Less than 1 year,Not homeless,No,,,0,Relet - previous tenant died (no succession)
1010/102130/10000104,PE15 0WD,1010/1100075222,2/16/21,To move to accommodation with support,,No,Owner occupation (private),Fenland,S6 6EA,Just moved to the local authority area,Just moved to the local authority area,Not homeless,No,,Common housing register (CHR),0,Relet - previous tenant moved to private sector or other accommodation
1010/104418/10000032,CO10 2WT,1010/1100075420,2/23/21,To move to accommodation with support,,No,Living with friends or family,Babergh,CO10 0LF,5 years or more,Less than 1 year,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - tenant moved to other social housing provider
1010/100244/10000027,M11 2LY,1010/1500001781,2/19/21,Don’t Know,,No,Supported housing,Manchester,,5 years or more,Less than 1 year,Other homelessness (i.e. not found statutorily homeless by a housing authority but considered to be homeless by the letting landlord.,Yes,Homeless or about to lose their home (within 56 days),,0,Relet - tenant moved to other social housing provider
1010/106584/10000003,TS20 2AH,1010/1500001783,2/22/21,Don’t Know,,No,Rough sleeping,Stockton-on-Tees,,5 years or more,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),,0,Relet - tenant moved to other social housing provider
1010/103720/10000034,SN1 5BZ,1010/1600005807,2/10/21,Asked to leave by family or friends,,No,Bed and breakfast,Swindon,,2 years but under 3 years,1 year but under 2 years,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,Common housing register (CHR),0,Relet - previous tenant moved to private sector or other accommodation
1010/104553/10000004,SN1 2EG,1010/1600005809,2/10/21,Loss of tied accommodation,,No,Rough sleeping,Swindon,,2 years but under 3 years,1 year but under 2 years,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,Common allocation policy (CAP),0,Relet - previous tenant moved to private sector or other accommodation
1010/100823/10000025,PL15 9FL,1010/1100075376,2/24/21,To move to independent accommodation,,No,Living with friends or family,Cornwall,,5 years or more,Don't know,Not homeless,No,,Choice-based lettings (CBL),0,Relet - tenant moved to other social housing provider
1010/103720/10000027,SN1 5BZ,1010/1600005796,2/8/21,Asked to leave by family or friends,,No,Bed and breakfast,Swindon,,1 year but under 2 years,Less than 1 year,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,Common housing register (CHR),0,Relet - tenant evicted due to ASB or other reason
1010/101760/10000048,SW19 2NE,1010/1100075187,2/5/21,To move to accommodation with support,,Don't Know,Other,Merton,SM4 4AY,Don't know,Don't know,Not homeless,Don't Know,,,0,Relet - tenant moved to other social housing provider
1020/103839/10000105,LS10 4DP,1020/1100003282,2/15/21,Other,Unable to suceed to tenancy,No,Living with friends or family,Leeds,LS10 4BG,1 year but under 2 years,Less than 1 year,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),0,Relet - previous tenant died (no succession)
1010/101685/10000023,CM8 2YH,1010/1200008734,2/8/21,Discharged from prison or from longstay hospital or other institution,,No,Hospital,Castle Point,,Don't know,Don't know,Not homeless,Don't Know,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/102369/10000006,ME13 8HB,1010/1600005816,2/15/21,To move to accommodation with support,,No,Any other temporary accommodation,Swale,,5 years or more,Less than 1 year,Assessed as unintentionally homeless and having a priority need by a local authority and owed by a homeless main duty,Yes,Homeless or about to lose their home (within 56 days),Common housing register (CHR),0,Relet - previous tenant moved to private sector or other accommodation
1010/102719/10000011,CO2 8PE,1010/1600005798,2/8/21,Discharged from prison or from longstay hospital or other institution,,No,Rough sleeping,Colchester,,1 year but under 2 years,Less than 1 year,Other homelessness (i.e. not found statutorily homeless by a housing authority but considered to be homeless by the letting landlord.,Yes,Homeless or about to lose their home (within 56 days),,0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/103624/10000160,CT2 8ED,1010/1600005814,2/12/21,Other,Internal transfer due to safeguarding ,No,Supported housing,Swale,ME10 1JX,Just moved to the local authority area,Just moved to the local authority area,Not homeless,No,,,0,Relet - tenant moved to other social housing provider
1010/105581/10000050,HX1 5NA,1010/1100075351,2/17/21,Domestic abuse,,No,Refuge,Calderdale,HD6 3YU,5 years or more,Less than 1 year,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),,0,Relet - tenant abandoned property
1010/106929/10000026,RM17 6DX,1010/1600005799,2/8/21,Domestic abuse,,No,Supported housing,Thurrock,,5 years or more,5 years or more,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),,0,Relet - tenant moved to other social housing provider
1010/101482/10000003,BL8 3AW,1010/1100075365,2/19/21,Property unsuitable because of overcrowding,,No,Living with friends or family,Bury,BL9 9PS,Don't know,Don't know,Not homeless,Yes,"Living in insanitary, overcrowded or unsatisfactory housing",Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/105467/10000047,HX3 6HR,1010/1100075364,2/18/21,Property unsuitable because of overcrowding,,No,Living with friends or family,Calderdale,HX7 5NG,5 years or more,Less than 1 year,Not homeless,Yes,"Living in insanitary, overcrowded or unsatisfactory housing",Choice-based lettings (CBL),1,Relet - previous tenant moved to private sector or other accommodation
1010/104014/10000026,HG4 2TS,1010/1100075362,2/18/21,Property unsuitable because of overcrowding,,No,Private sector tenancy,Harrogate,HG4 2AP,5 years or more,Don't know,Not homeless,Yes,"Living in insanitary, overcrowded or unsatisfactory housing",,0,Relet - previous tenant moved to private sector or other accommodation
1010/103577/10000001,HX2 9RX,1010/1100075312,2/15/21,Other,Suffered bereavement at former home,No,Private sector tenancy,Calderdale,HX1 4AP,5 years or more,Less than 1 year,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),Choice-based lettings (CBL),2,Relet - previous tenant moved to private sector or other accommodation
1020/106469/10000001,IP22 4LF,1020/1600000936,2/19/21,Asked to leave by family or friends,,No,Rough sleeping,North Norfolk,,Just moved to the local authority area,Just moved to the local authority area,Assessed as homeless by a local authority and owed a relief duty,Yes,A need to move to avoid hardship to themselves or others,,0,Relet - previous tenant moved to private sector or other accommodation
1010/105333/10000052,M16 8HR,1010/1100075414,2/23/21,Left home country as refugee,,No,Supported housing,Manchester,M11 1BQ,1 year but under 2 years,Less than 1 year,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1020/106439/10000004,CO15 6BG,1020/1600000930,2/15/21,Asked to leave by family or friends,,No,Any other temporary accommodation,Tendring,,Don't know,Don't know,Assessed as threatened with homelessness within 56 days by a local authority and owed prevention duty,No,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/104363/10000015,TA1 1SU,1010/1200008744,2/15/21,End of Assured Shorthold Tenancy - 'no fault',,Don't Know,Any other temporary accommodation,Somerset West and Taunton,,5 years or more,Less than 1 year,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/106930/10000017,RM17 6QA,1010/1600005822,2/16/21,Left home country as refugee,,No,Children’s home/ foster care,Thurrock,,Just moved to the local authority area,Just moved to the local authority area,Not homeless,Yes,Don't know,,0,Relet - tenant moved to other social housing provider
1010/103624/10000130,CT2 8ED,1010/1600005810,2/11/21,Asked to leave by family or friends,,No,Living with friends or family,Thanet,,Just moved to the local authority area,Don't know,Other homelessness (i.e. not found statutorily homeless by a housing authority but considered to be homeless by the letting landlord.,Don't Know,,,0,Relet - tenant moved to other social housing provider
1010/101685/10000020,CM8 2YH,1010/1200008742,2/15/21,Discharged from prison or from longstay hospital or other institution,,Don't Know,Hospital,Basildon,SS11 7FE,Just moved to the local authority area,Don't know,Not homeless,Don't Know,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/105105/10000013,TN34 1UH,1010/1600005826,2/18/21,To move to accommodation with support,,No,Living with friends or family,Hastings,,5 years or more,Don't know,Not homeless,Yes,"Living in insanitary, overcrowded or unsatisfactory housing",,0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/105014/10000009,BN43 5UB,1010/1600005825,2/22/21,To move to accommodation with support,,No,Any other temporary accommodation,Adur,BN15 9QL,Less than 1 year,Just moved to the local authority area,Other homelessness (i.e. not found statutorily homeless by a housing authority but considered to be homeless by the letting landlord.,No,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/104649/10000098,SS1 2NF,1010/1600005828,2/15/21,To move to accommodation with support,,No,Supported housing,Southend-on-Sea,SS3 9UT,5 years or more,Less than 1 year,Not homeless,No,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/102243/10000005,WR14 1HW,1010/1200008752,2/18/21,Asked to leave by family or friends,,No,Living with friends or family,Worcester,,5 years or more,1 year but under 2 years,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability);#A need to move to avoid hardship to themselves or others,,0,Relet - previous tenant moved to private sector or other accommodation
1010/104451/10000004,BN22 7AS,1010/1600005823,2/18/21,To move to accommodation with support,,Don't Know,Any other temporary accommodation,Eastbourne,BN22 8BN,Less than 1 year,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Common housing register (CHR),0,Relet - previous tenant moved to private sector or other accommodation
1020/106447/10000041,CM7 3AL,1020/1100003300,2/24/21,To move to independent accommodation,,No,Living with friends or family,Braintree,CM7 1BL,5 years or more,1 year but under 2 years,Not homeless,Don't Know,,Choice-based lettings (CBL),0,"First let of a conversion, rehabilitation or acquired property"
1010/100499/10000004,N17 6PPJ,1010/1600005837,2/22/21,End of Assured Shorthold Tenancy - 'no fault',,No,Any other temporary accommodation,Haringey,N17 7JJ,2 years but under 3 years,Less than 1 year,Assessed as homeless by a local authority and owed a relief duty,Yes,A need to move on medical and welfare grounds (including a disability),,0,Relet - tenant moved to other social housing provider
1010/101304/10000030,CB25 9DD,1010/1100075423,2/23/21,Property unsuitable because of ill health/ disability,,Don't Know,Private sector tenancy,South Cambridgeshire,CB8 0UF,Don't know,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant died (no succession)
1020/106466/10000016,NR32 1HB,1020/1600000937,2/22/21,To move to accommodation with support,,No,Any other temporary accommodation,East Suffolk,,Don't know,Less than 1 year,Assessed as unintentionally homeless and having a priority need by a local authority and owed by a homeless main duty,No,,,0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/106541/10000130,CH1 3HW,1010/1100075210,2/11/21,Other,Moving from house share,No,Private sector tenancy,Cheshire West and Chester,CH1 1AF,Less than 1 year,Don't know,Not homeless,No,,Choice-based lettings (CBL),6,Relet - previous tenant moved to private sector or other accommodation
1010/106541/10000310,CH1 3HJ,1010/1100075282,2/12/21,(Non-violent) relationship breakdown with partner,,No,Living with friends or family,Cheshire West and Chester,,5 years or more,Less than 1 year,Not homeless,No,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1020/106481/10000004,NR2 3JW,1020/1600000932,2/19/21,Asked to leave by family or friends,,No,Direct access hostel,Norwich,NR1 4FD,5 years or more,Don't know,Assessed as threatened with homelessness within 56 days by a local authority and owed prevention duty,No,,,0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1020/106455/10000002,CO10 2BP,1020/1600000938,2/22/21,Asked to leave by family or friends,,No,Living with friends or family,Babergh,,Don't know,Less than 1 year,Assessed as threatened with homelessness within 56 days by a local authority and owed prevention duty,No,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/104651/10000284,TQ4 9EF,1010/1600005793,2/5/21,Domestic abuse,,Don't Know,Fixed-term Local Authority General Needs tenancy,Torbay,TQ2 6DU,Don't know,Don't know,Not homeless,Don't Know,,,0,Relet - tenant moved to other social housing provider
1020/106446/10000015,CB11 3EE,1020/1600000933,2/22/21,Other,found statutory homeless,No,Bed and breakfast,Uttlesford,CM17 0HL,Don't know,Don't know,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,,0,Relet - tenant abandoned property
1010/105859/10000033,RG1 6JZ,1010/1100075380,2/19/21,To move to independent accommodation,,No,Any other temporary accommodation,Reading,RG1 6DJ,Don't know,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1020/106440/10000005,IP4 1DL,1020/1600000934,2/22/21,To move to accommodation with support,,Don't Know,Supported housing,Ipswich,,Don't know,Don't know,Other homelessness (i.e. not found statutorily homeless by a housing authority but considered to be homeless by the letting landlord.,Yes,Don't know,Choice-based lettings (CBL),0,Relet - renewal of fixed-term tenancy
1010/102880/10000017,TQ3 3AZ,1010/1100075424,2/25/21,To move to independent accommodation,,No,Supported housing,Torbay,TQ1 3PA,Don't know,Don't know,Not homeless,No,,Choice-based lettings (CBL),2,Relet - previous tenant died (no succession)
1010/106917/10000005,ME10 1JX,1010/1200008758,2/23/21,Other problems with neighbours,,No,Supported housing,Canterbury,CT1 3QE,Less than 1 year,Don't know,Not homeless,Don't Know,,,0,Relet - tenant moved to other social housing provider
1010/104438/10000003,BN21 4PU,1010/1200008759,2/25/21,Domestic abuse,,No,Any other temporary accommodation,Eastbourne,BN22 7NT,5 years or more,1 year but under 2 years,Assessed as unintentionally homeless and having a priority need by a local authority and owed by a homeless main duty,Don't Know,,,0,Relet - previous tenant moved to private sector or other accommodation
1020/105969/10000044,PL31 2FP,1020/1100003298,2/25/21,To move nearer to family/ friends/ school,,No,Lifetime Local Authority General Needs tenancy,Nottingham,,Just moved to the local authority area,Don't know,Not homeless,No,,Choice-based lettings (CBL),1,Relet - tenant moved to other social housing provider
1010/101413/10000021,PL25 5NZ,1010/1100075417,2/25/21,Don’t Know,,Don't Know,Any other temporary accommodation,Cornwall,,Don't know,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),0,Relet - tenant moved to other social housing provider
1010/106414/10000322,CH1 5QF,1010/1100075395,2/24/21,Property unsuitable because of ill health/ disability,,No,Lifetime Private Registered Provider General Needs tenancy,Cheshire West and Chester,CH1 5RS,5 years or more,Less than 1 year,Not homeless,No,,Choice-based lettings (CBL),0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/102753/10000039,CB6 1LF,1010/1100075389,2/24/21,To move to independent accommodation,,Don't Know,Living with friends or family,East Cambridgeshire,,Less than 1 year,Don't know,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/104699/10000010,B70 6ER,1010/1100075390,2/24/21,End of Assured Shorthold Tenancy - 'no fault',,Don't Know,Private sector tenancy,Sandwell,DY4 7XX,Don't know,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),2,Relet - tenant moved to other social housing provider
1010/105890/10000065,AL7 3HR,1010/1100075455,2/25/21,Property unsuitable because of ill health/ disability,,Don't Know,Lifetime Local Authority General Needs tenancy,Welwyn Hatfield,AL10 8DR,2 years but under 3 years,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),1,Relet - tenant moved to other social housing provider
1010/102145/10000041,ST17 9JD,1010/1100075391,2/25/21,Don’t Know,,No,Living with friends or family,Stafford,ST16 2RY,5 years or more,Don't know,Not homeless,No,,,0,Relet - previous tenant moved to private sector or other accommodation
1020/106337/10000011,GL2 2JN,1020/1100003268,2/1/21,Property unsuitable because of overcrowding,,No,Private sector tenancy,Gloucester,GL2 4TR,3 years but under 4 years,1 year but under 2 years,Not homeless,Yes,"Living in insanitary, overcrowded or unsatisfactory housing;#A need to move to avoid hardship to themselves or others",Choice-based lettings (CBL),0,First let of a new build property
1010/105431/10000001,WV15 5HJ,1010/1100075064,2/1/21,Property unsuitable because of overcrowding,,No,Private sector tenancy,Shropshire,WV16 6SQ,1 year but under 2 years,1 year but under 2 years,Other homelessness (i.e. not found statutorily homeless by a housing authority but considered to be homeless by the letting landlord.,Yes,Homeless or about to lose their home (within 56 days);#A need to move to avoid hardship to themselves or others,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/103336/10000006,TF4 2BX,1010/1100075181,2/5/21,To move to independent accommodation,,No,Any other temporary accommodation,Telford and Wrekin,TF1 3AE,5 years or more,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),2,Relet - previous tenant died (no succession)
1010/101554/10000019,TF7 4JP,1010/1100075253,2/10/21,To move to independent accommodation,,No,Any other temporary accommodation,Telford and Wrekin,TF7 4HA,5 years or more,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days);#A need to move to avoid hardship to themselves or others,Common allocation policy (CAP),0,Relet - previous tenant moved to private sector or other accommodation
1020/106483/10000012,B70 0FP,1020/1100003302,2/25/21,To move to independent accommodation,,Don't Know,Any other temporary accommodation,Dudley,B62 2EU,Don't know,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),2,First let of a leased property
1020/101643/10000011,TF7 4AR,1020/1100003288,2/17/21,Domestic abuse,,No,Any other temporary accommodation,Telford and Wrekin,TF3 1YU,Less than 1 year,Just moved to the local authority area,Assessed as unintentionally homeless and having a priority need by a local authority and owed by a homeless main duty,Yes,Homeless or about to lose their home (within 56 days);#A need to move to avoid hardship to themselves or others,Common allocation policy (CAP),1,Relet - tenant moved to other social housing provider
1020/106483/10000013,B70 0F,1020/1100003303,2/25/21,(Non-violent) relationship breakdown with partner,,Don't Know,Fixed-term Local Authority General Needs tenancy,Sandwell,DY4 9LZ,Don't know,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,First let of a leased property
1020/106483/10000014,B70 0FP,1020/1100003312,2/25/21,Property unsuitable because of overcrowding,,Don't Know,Fixed-term Local Authority General Needs tenancy,Sandwell,B71 2RL,Don't know,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),1,First let of a leased property
1020/106483/10000019,B70 0FQ,1020/1100003307,2/25/21,End of Fixed-Term Tenancy - 'no fault',,Don't Know,Fixed-term Private Registered Provider General Needs tenancy,Sandwell,B70 9JD,Don't know,Don't know,Not homeless,Don't Know,Don't know,Choice-based lettings (CBL),0,First let of a leased property
1020/106483/10000011,B70 0FP,1020/1100003301,2/25/21,Property unsuitable because of overcrowding,,Don't Know,Fixed-term Local Authority General Needs tenancy,Sandwell,DY4 7ES,Don't know,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),2,First let of a leased property
1020/106483/10000015,B70 0FQ,1020/1100003304,2/25/21,Domestic abuse,,Don't Know,Fixed-term Private Registered Provider General Needs tenancy,Sandwell,DY4 8XX,Don't know,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),1,First let of a leased property
1010/102732/10000024,WR14 2UH,1010/1100075203,2/8/21,To move to independent accommodation,,No,Lifetime Private Registered Provider General Needs tenancy,Worcester,WR5 3AB,Just moved to the local authority area,Don't know,Not homeless,Yes,A need to move to avoid hardship to themselves or others,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1020/106483/10000018,B70 0FQ,1020/1100003306,2/25/21,To move nearer to work,,Don't Know,Fixed-term Local Authority General Needs tenancy,Sandwell,B67 7DB,Don't know,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,First let of a leased property
1020/106483/10000020,b70 0fq,1020/1100003308,2/25/21,Property unsuitable because of ill health/ disability,,Don't Know,Fixed-term Local Authority General Needs tenancy,Sandwell,B64 7JH,Don't know,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),1,First let of a leased property
1020/106483/10000017,B70 0FQ,1020/1100003305,2/25/21,Property unsuitable because of overcrowding,,Don't Know,Fixed-term Private Registered Provider General Needs tenancy,Sandwell,B70 9ES,Don't know,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),2,First let of a leased property
1010/106916/10000009,ME12 1RH,1010/1200008756,2/24/21,Property unsuitable because of overcrowding,,No,Living with friends or family,Swale,ME12 1XX,5 years or more,Don't know,Not homeless,No,,,0,Relet - tenant moved to other social housing provider
1010/106431/10000100,CH2 3LB,1010/1100075387,2/23/21,Property unsuitable because of ill health/ disability,,No,Private sector tenancy,Cheshire West and Chester,,5 years or more,Less than 1 year,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),Choice-based lettings (CBL);#Common housing register (CHR);#Common allocation policy (CAP),0,Relet - previous tenant died (no succession)
